Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
A188,236,213,15,0,0,7
A189,166,129,11,0,2,7
A190,220,206,28,1,3,16
A191,335,415,35,2,9,23
A192,203,267,13,0,3,14
A193,301,241,21,0,4,9
A194,174,250,13,0,1,9
A195,171,197,16,0,6,11
A196,143,208,19,0,8,10
A197,185,243,20,0,3,11
A198,128,199,16,0,2,20
A199,143,244,21,0,6,5
A200,234,435,28,0,8,13
A201,143,236,14,0,4,7
A203,0,3,0,0,0,0
A204,117,190,12,0,7,3
B101,243,189,12,1,3,9
B102,194,327,32,0,15,17
B103,210,173,10,0,4,10
B104,190,187,18,0,7,10
B105,180,217,13,1,5,8
B106,240,212,26,1,4,7
B108,162,199,15,0,6,9
B110,168,216,25,0,4,14
B111,109,286,10,0,3,7
B112,154,197,19,0,2,5
B113,128,391,29,0,16,9
B114,186,196,13,0,8,10
B117,310,227,29,1,4,19
B118,169,258,23,0,12,5
B119,102,183,13,0,4,5
B120,130,128,16,0,5,4
B121,148,229,14,1,2,5
B123,261,181,17,0,2,3
B125,164,276,24,0,4,10
B127,207,250,29,1,7,10
B128,155,195,6,1,2,4
B129,215,138,13,1,2,15
B130,330,269,31,0,6,17
B132,106,242,17,1,14,4
B133,118,253,28,0,4,16
B135,162,330,43,0,13,13
B137,197,255,13,0,8,12
B138,123,304,22,0,2,10
B139,245,192,12,1,4,7
B140,206,238,22,1,4,11
B141,238,208,23,4,12,19
B142,170,149,5,0,4,5
B143,186,257,24,1,5,8
B146,240,237,27,1,5,11
B147,192,257,17,0,6,11
B150,259,180,14,0,3,12
B151,148,185,11,1,6,3
B152,275,219,22,0,1,7
B154,222,160,13,0,6,5
B155,188,281,20,1,4,4
B156,295,212,10,0,4,15
B157,119,190,18,0,1,7
B158,162,245,18,0,12,4
B159,231,203,15,0,10,13
B163,310,235,33,0,5,9
B164,186,156,9,0,4,10
B165,220,296,28,0,12,13
B166,193,214,15,0,3,13
B167,138,141,13,2,1,8
B168,183,253,16,0,4,4
B169,177,140,12,0,6,12
B170,192,162,10,0,4,9
B172,169,160,6,1,2,10
B174,48,250,12,0,5,1
B179,297,300,23,0,10,15
B181,324,314,31,0,7,11
B182,97,125,12,0,2,6
B183,175,195,13,0,1,6
B184,251,239,16,1,6,9
B185,367,243,19,0,6,19
B186,288,180,13,0,6,14
B187,290,174,15,1,5,18
B188,273,218,11,0,2,4
B189,159,256,19,2,8,5
B190,143,330,23,0,8,13
B191,221,177,15,0,3,8
B192,308,229,16,0,4,11
B195,151,318,28,2,13,2
B196,176,211,22,1,6,12
B197,146,217,16,0,3,5
B198,327,215,21,1,2,12
B199,236,204,13,0,6,12
B200,192,158,23,1,3,12
B201,266,149,13,0,2,6
