Precinct,Paul,Gray
E185,102,160
F106,293,299
F145,545,488
F151,569,466
F152,561,433
F153,450,397
F154,440,268
F155,238,131
F156,495,453
F158,167,112
F161,364,223
F163,354,286
F164,473,251
F166,323,269
F167,250,354
F169,156,188
F170,160,234
F171,387,263
F172,314,337
F176,345,279
F179,370,350
F180,489,516
F181,424,566
F182,497,612
F183,234,116
F184,444,286
F185,285,481
F186,362,707
F187,272,381
G103,97,408
G104,110,323
G106,117,368
G107,140,422
G108,92,324
G109,187,560
G111,119,458
G112,228,780
G116,201,604
G117,272,763
G119,166,286
G120,163,392
G121,220,319
G122,119,289
G123,84,147
G124,353,510
G126,196,334
G129,68,113
G140,116,408
G141,152,393
G142,57,110
G143,211,618
G144,176,487
G145,299,624
G146,217,558
G147,249,447
G148,120,204
G149,123,240
G150,177,187
G151,167,234
G154,244,391
G155,220,478
G156,391,315
G157,397,497
G158,387,382
G159,0,0
G160,215,183
G161,152,301
G162,54,44
G163,205,263
G164,408,594
G165,168,218
G166,53,81
G167,135,195
G168 - STM,53,27
G169,117,174
H102,125,482
H103,224,566
H105,157,487
H106,166,430
H109,97,229
H110,184,463
H111,158,244
H112,245,349
H113,179,165
H114,2,6
H115,150,247
H116,226,357
H117,455,469
H118,247,413
H120,381,563
H121,126,202
H123,99,132
H124,30,119
H125,160,194
H126,183,255
H127,74,212
H130,0,0
H131,79,282
H132,38,177
H133,15,66
H138,363,678
H141,199,457
H144,341,360
H145,283,260
H146,338,361
H147,271,269
H148,325,320
H150,2,0
H151,0,1
H152,37,79
H153,0,0
H154,70,87
H155,76,121
H156,0,0
H157,5,13
H158,0,0
H159,102,91
H160,317,509
H161,0,1
H162,227,254
I107,192,427
I109,110,272
I110,76,103
I111,279,563
I112,275,429
I115,77,316
I120,112,209
I122,166,157
I123,432,537
I124,142,229
I125,118,203
I126,354,267
I130,188,158
I133,571,455
I135,190,134
I138,0,1
I140,22,50
I141,325,369
I142,1,0
I143,28,32
I144,49,29
I145,73,85
I146,314,310
I147,23,16
I148,164,149
I149,0,0
I150,24,44
I151,352,362
I152,464,408
I153,518,626
I154,492,566
I155,20,15
I156,136,168
J101,121,449
J104,174,538
J105,135,218
J107,114,316
J108,280,482
J111,157,340
J113,316,466
J114,339,490
J117,185,252
J119,232,300
J120,307,369
J122,250,357
J123,177,187
J130,68,134
J135,361,326
J137,354,245
J138,84,96
J140,76,145
J141,268,188
J142,3,3
J143,44,33
J144,363,257
J145,429,300
J146,0,0
J147,188,400
J148,253,403
J149,125,395
J150,132,256
J151,4,8
J152,255,221
J153,122,115
J154,0,0
J155,141,93
K104,139,280
K105,159,632
K110,69,311
K111,57,210
K112,90,246
K113,38,203
K114,121,397
K116,24,61
K117,182,356
K118,38,450
K119,205,351
K122,78,592
K123,85,684
K125,44,152
K126,49,239
K127,285,461
K128,236,297
K129,125,426
K130,73,368
K131,126,356
K132,115,135
K133,136,371
K134,154,304
K135,5,14
K136,20,85
K137,11,161
K138,53,78
K139,0,0
K140,35,182
K141,51,120
K142,0,0
K143,0,0
K144,221,312
K145,362,487
K146,382,404
K147,388,569
K148,191,291
K149,1,0
K150,0,0
K151,0,0
L104,30,572
L108,23,348
L110,5,12
L111,43,249
L112,26,310
L113,76,560
L115,21,71
L117,220,475
L118,401,569
L119,218,519
L134,225,310
L135,234,272
L136,255,457
L138,206,232
L139,441,410
L140,7,256
L141,84,280
L142,74,292
L143,42,204
L144,10,204
L145,6,466
L146,335,404
L147,17,432
L148,12,195
L149,1,26
L150,3,47
L151,220,284
L152,120,158
L153,33,38
L154,10,342
L155,3,7
L156,87,540
L157,14,462
L158,17,324
L159,2,128
L160,13,241
L161,16,421
L162,0,8
L163,19,242
L164,84,212
M102,21,946
M103,18,992
M104,15,403
M105,11,405
M107,6,240
M110,13,579
M121,101,473
M123,153,711
M124,140,567
M129,19,262
M130,27,253
M131,58,269
M133,16,688
M137,171,306
M138,246,627
M139,101,439
M140,59,184
M141,75,272
M142,222,777
M143,103,347
M144,53,226
M145,1,36
M146,99,436
M147,69,328
M148,10,439
M149,128,321
M150,78,187
M159,37,116
M160,32,102
M162,51,200
M163,49,164
M164,11,15
M165,0,0
M166,46,449
M167,0,0
M168,26,106
M169,11,269
M170,28,654
M171,30,781
M172,13,129
M173,73,539
M174,1,0
M175,0,0
N101,81,564
N102,173,360
N103,23,679
N104,27,719
N105,29,535
N106,17,638
N107,14,635
N108,15,701
N109,12,474
N110,12,420
N111,11,290
N112,11,361
N113,12,274
N115,115,312
N117,76,443
N124,2,1
N125,337,372
N126,329,173
N127,14,40
N128,41,180
N130,308,515
N131,416,252
N134,144,593
N135,54,78
N136,36,254
N137,2,135
N138,1,35
N139,1,74
N141,263,205
N142,428,441
N143,409,445
N144,254,253
N145,4,449
N146,211,277
N147,28,81
N148,5,331
N149,2,99
N150,0,12
